CD,STATION,ICAO,IATA,SYNOP,LATdeg,LATmin,LONdeg,LONmin,ELEV,M,N,V,U,A,C,PRIORITY,COUNTRY CODE,LAT,LON
,HAMMERFEST,ENHF,HFT,,70,40N,023,40E,79,X,,T,,,,6.0,NO,70.66666666666667,23.666666666666668
,HASVIK,ENHK,HAA,,70,29N,022,08E,6,X,,,,,,7.0,NO,70.48333333333333,22.133333333333333
,HAUGESUND/KARMOY,ENHD,HAU,,59,21N,005,13E,22,X,,T,,,,6.0,NO,59.35,5.216666666666667
,HEIDRUN,ENHE,,,65,20N,002,20E,10,X,,T,,,,6.0,NO,65.33333333333333,2.3333333333333335
,HEIMDAL OILP,ENHM,,,59,34N,002,14E,10,X,,T,,,,8.0,NO,59.56666666666667,2.2333333333333334
,HONNINGSVAG/VALA,ENHV,HVG,,71,01N,025,58E,13,X,,T,,,,7.0,SJ,71.01666666666667,25.966666666666665
,HOPEN ISLAND,ENHO,,01062,76,30N,025,04E,10,X,,,,,,7.0,NO,76.5,25.066666666666666
,JAN MAYEN(NOR-NA,ENJA,,01001,70,55N,008,40W,9,X,,,X,,,7.0,NO,70.91666666666667,-8.666666666666666
,KAUTOKEINO II,ENKA,,01047,69,01N,023,04E,330,X,,,,,,7.0,NO,69.01666666666667,23.066666666666666
,KIRKENES (CIV/MI,ENKR,KKN,,69,43N,029,53E,86,X,,T,,,,6.0,NO,69.71666666666667,29.883333333333333
,KRISTIANSAND/KJE,ENCN,KRS,,58,12N,008,04E,17,X,,T,,,,6.0,NO,58.2,8.066666666666666
,KRISTIANSUND/KVE,ENKB,KSU,,63,07N,007,49E,62,X,,T,,,,6.0,NO,63.11666666666667,7.816666666666666
,LEKNES,ENLK,LKN,,68,09N,013,37E,26,X,,,,,,7.0,NO,68.15,13.616666666666667
,LISTA/FARSUND (A,ENLI,,01428,58,06N,006,37E,10,X,,T,,,,6.0,NO,58.1,6.616666666666667
,MEHAMN,ENMH,MEH,,71,01N,027,49E,10,X,,,,,,7.0,NO,71.01666666666667,27.816666666666666
,MOIRANA,ENRA,MQN,,66,22N,014,18E,66,X,,T,,,,6.0,NO,66.36666666666666,14.3
,MOLDE/ARO,ENML,MOL,,62,45N,007,16E,3,X,,T,,,,6.0,NO,62.75,7.266666666666667
,MOSJOEN/KJAERSTA,ENMS,MJF,,65,47N,013,13E,44,X,,T,,,,7.0,NO,65.78333333333333,13.216666666666667
,NAMSOS AIRPORT,ENNM,OSY,,64,28N,011,34E,2,X,,,,,,7.0,NO,64.46666666666667,11.566666666666666
,NARVIK III/FRAMN,ENNK,NVK,,68,26N,017,23E,29,X,,,,,,7.0,NO,68.43333333333334,17.383333333333333
